Year,MSST,Biomass (MMB),TAC,Retained Catch,Total Catch,OFL,ABC
2011/2012,77.3,165.2,40.3,40.5,42,73.5,66.2
2012/2013,77.1,170.1,30.1,30.1,32.4,67.8,61
2013/2014,71.5,126.5,24.5,24.5,27.7,78.1,69.3
2014/2015,73.2,129.3,30.8,30.8,34.3,69,62.1
2015/2016,73.2,123.5,18.4,18.4,,61.5,55.4
